9824532	000000	5923020	1
1234051	111111	5467813	1
8169183	222222	9641681	1
6461815	333333	1818186	0
9751351	444444	1651671	0
1310640	555555	3510684	1
1096406	666666	6411063	1
5556135	777777	1651063	1
1245151	888888	9764632	1
6547813	999999	3035403	0
3540314	112233	0684841	1
3639897	223344	4908894	0
7871461	334455	9751315	0
9754616	445566	9874113	1
3104687	556677	7756781	0
6583666	667788	9761336	0
8552282	778899	9766632	0
2243513	889900	6636287	0
2462526	111222	7765222	0
7953627	222333	9772524	1
3363625	333444	6464841	0
2654325	444555	2451357	0
8451356	555666	8135136	1
3561651	666777	6843518	1
5498138	777888	3483153	1
6841385	888999	0561654	0
5464813	999000	3516804	1
